Customer ID,Response Time (minutes),Product Quality (1-10),Customer Satisfaction (1-100),Region
CUST0001,39,2,1,North
CUST0002,52,7,40,East
CUST0003,29,6,49,North
CUST0004,15,3,23,North
CUST0005,43,9,72,West
CUST0006,8,6,47,South
CUST0007,21,6,46,East
CUST0008,39,1,1,North
CUST0009,58,4,13,North
CUST0010,19,6,51,East
CUST0011,23,6,52,North
CUST0012,11,5,55,West
CUST0013,11,1,14,West
CUST0014,24,8,60,West
CUST0015,53,5,17,West
CUST0016,36,5,23,North
CUST0017,40,7,46,East
CUST0018,24,4,28,East
CUST0019,3,6,59,East
CUST0020,22,4,21,East
CUST0021,53,3,1,South
CUST0022,2,7,65,East
CUST0023,24,8,72,South
CUST0024,44,4,23,South
CUST0025,30,2,13,West
CUST0026,38,3,10,South
CUST0027,2,1,13,North
CUST0028,21,8,74,South
CUST0029,33,3,11,West
CUST0030,12,7,65,South
CUST0031,58,5,24,North
CUST0032,22,5,34,North
CUST0033,44,7,56,North
CUST0034,25,9,77,West
CUST0035,49,5,25,West
CUST0036,27,1,1,East
CUST0037,59,1,1,West
CUST0038,42,2,1,North
CUST0039,28,6,46,North
CUST0040,16,9,94,West
CUST0041,15,8,67,South
CUST0042,47,5,41,West
CUST0043,51,1,1,West
CUST0044,44,7,45,North
CUST0045,55,5,22,East
CUST0046,52,6,33,North
CUST0047,57,7,50,East
CUST0048,3,3,31,North
CUST0049,37,3,17,West
CUST0050,51,5,26,North
CUST0051,7,6,55,North
CUST0052,21,9,81,North
CUST0053,9,5,43,West
CUST0054,39,1,1,West
CUST0055,18,4,35,West
CUST0056,4,5,40,West
CUST0057,25,5,36,East
CUST0058,14,7,60,East
CUST0059,50,4,18,South
CUST0060,58,1,1,West
CUST0061,9,5,51,East
CUST0062,26,7,60,North
CUST0063,53,6,30,West
CUST0064,2,5,48,South
CUST0065,20,4,28,South
CUST0066,28,2,3,South
CUST0067,47,4,14,North
CUST0068,7,3,24,East
CUST0069,44,1,1,North
CUST0070,8,8,80,West
CUST0071,47,5,21,South
CUST0072,35,4,18,North
CUST0073,14,8,65,North
CUST0074,17,7,68,East
CUST0075,36,2,1,East
CUST0076,50,1,1,South
CUST0077,40,4,22,North
CUST0078,4,8,84,North
CUST0079,2,2,17,East
CUST0080,6,3,22,North
CUST0081,54,1,1,North
CUST0082,42,1,1,North
CUST0083,4,3,28,East
CUST0084,54,5,26,South
CUST0085,29,3,17,West
CUST0086,18,1,1,South
CUST0087,26,1,2,West
CUST0088,44,8,54,North
CUST0089,34,2,1,South
CUST0090,10,3,21,West
CUST0091,36,2,2,East
CUST0092,14,3,15,East
CUST0093,31,7,54,South
CUST0094,48,1,1,South
CUST0095,15,8,78,North
CUST0096,8,2,16,South
CUST0097,14,3,16,North
CUST0098,23,9,79,North
CUST0099,57,7,36,East
CUST0100,40,4,14,East
CUST0101,21,5,32,West
CUST0102,16,2,2,East
CUST0103,45,8,54,East
CUST0104,18,4,36,South
CUST0105,47,9,77,East
CUST0106,53,5,20,West
CUST0107,24,9,83,South
CUST0108,26,4,25,West
CUST0109,25,5,29,East
CUST0110,45,9,71,West
CUST0111,41,8,60,South
CUST0112,29,3,24,North
CUST0113,15,1,1,West
CUST0114,45,3,21,West
CUST0115,1,4,47,South
CUST0116,25,2,7,South
CUST0117,7,1,5,West
CUST0118,9,7,61,East
CUST0119,24,8,68,West
CUST0120,1,7,68,South
CUST0121,44,5,30,North
CUST0122,8,1,4,North
CUST0123,24,7,65,East
CUST0124,11,7,65,West
CUST0125,51,9,63,North
CUST0126,17,3,26,West
CUST0127,8,9,77,South
CUST0128,35,1,1,North
CUST0129,35,1,1,East
CUST0130,33,4,16,South
CUST0131,59,9,51,East
CUST0132,5,6,62,South
CUST0133,42,3,13,North
CUST0134,39,1,1,East
CUST0135,58,4,19,East
CUST0136,41,9,71,South
CUST0137,28,3,22,East
CUST0138,7,9,88,South
CUST0139,9,7,64,South
CUST0140,8,4,30,South
CUST0141,12,3,20,South
CUST0142,34,5,31,North
CUST0143,33,5,40,South
CUST0144,48,3,9,West
CUST0145,55,9,64,East
CUST0146,23,4,32,West
CUST0147,24,5,40,North
CUST0148,37,4,22,West
CUST0149,35,5,25,East
CUST0150,44,7,53,West
CUST0151,40,9,67,North
CUST0152,22,7,64,South
CUST0153,27,5,42,West
CUST0154,35,7,49,North
CUST0155,1,5,54,North
CUST0156,35,3,10,East
CUST0157,37,7,49,East
CUST0158,47,2,1,West
CUST0159,14,9,84,South
CUST0160,3,1,8,North
CUST0161,1,6,52,West
CUST0162,5,7,66,North
CUST0163,26,8,78,North
CUST0164,55,9,48,South
CUST0165,14,2,17,South
CUST0166,39,2,5,West
CUST0167,27,5,29,South
CUST0168,9,5,43,South
CUST0169,15,6,47,West
CUST0170,15,3,31,South
CUST0171,26,8,72,East
CUST0172,42,1,1,North
CUST0173,13,6,54,North
CUST0174,51,4,21,North
CUST0175,32,1,1,North
CUST0176,39,7,57,West
CUST0177,49,9,64,North
CUST0178,52,4,10,North
CUST0179,32,4,33,North
CUST0180,4,6,57,North
CUST0181,30,3,10,East
CUST0182,37,6,36,North
CUST0183,23,7,53,East
CUST0184,39,3,14,West
CUST0185,45,7,47,South
CUST0186,15,3,33,North
CUST0187,43,2,4,South
CUST0188,29,4,26,South
CUST0189,36,8,69,West
CUST0190,13,9,81,South
CUST0191,32,7,44,East
CUST0192,7,1,1,South
CUST0193,59,3,1,South
CUST0194,51,9,63,South
CUST0195,22,1,3,North
CUST0196,28,9,75,North
CUST0197,2,8,82,East
CUST0198,42,1,1,East
CUST0199,45,6,36,North
CUST0200,57,5,24,East
CUST0201,53,6,24,North
CUST0202,6,5,46,West
CUST0203,28,6,39,South
CUST0204,28,5,36,South
CUST0205,44,5,29,East
CUST0206,44,4,19,North
CUST0207,20,3,17,North
CUST0208,30,3,26,East
CUST0209,11,4,28,North
CUST0210,58,9,54,West
CUST0211,55,2,1,South
CUST0212,28,9,72,East
CUST0213,25,1,1,East
CUST0214,39,1,2,North
CUST0215,33,5,38,East
CUST0216,1,6,56,West
CUST0217,57,6,32,North
CUST0218,27,3,26,North
CUST0219,57,7,44,North
CUST0220,52,9,70,North
CUST0221,13,8,77,West
CUST0222,41,6,44,North
CUST0223,3,8,78,East
CUST0224,39,5,30,West
CUST0225,6,8,78,South
CUST0226,8,4,39,South
CUST0227,27,8,65,East
CUST0228,9,2,16,East
CUST0229,37,5,29,West
CUST0230,33,9,74,South
CUST0231,51,4,8,South
CUST0232,42,6,52,South
CUST0233,44,1,1,South
CUST0234,24,9,76,South
CUST0235,15,1,1,North
CUST0236,59,5,23,East
CUST0237,54,4,12,North
CUST0238,32,3,9,South
CUST0239,32,6,47,West
CUST0240,24,2,11,West
CUST0241,41,3,9,South
CUST0242,52,5,20,South
CUST0243,49,9,76,West
CUST0244,49,2,1,North
CUST0245,58,8,44,North
CUST0246,52,2,1,South
CUST0247,12,5,39,North
CUST0248,39,7,64,West
CUST0249,2,8,79,North
CUST0250,3,1,13,South
CUST0251,49,6,25,West
CUST0252,37,1,1,North
CUST0253,49,2,2,East
CUST0254,56,1,1,West
CUST0255,17,5,51,West
CUST0256,59,9,62,East
CUST0257,49,6,36,East
CUST0258,2,1,17,West
CUST0259,2,1,14,East
CUST0260,28,2,5,South
CUST0261,54,9,57,South
CUST0262,23,3,6,South
CUST0263,37,1,1,West
CUST0264,32,5,28,East
CUST0265,33,7,66,East
CUST0266,1,6,56,North
CUST0267,19,1,1,North
CUST0268,2,5,41,East
CUST0269,53,5,22,East
CUST0270,44,6,34,East
CUST0271,26,3,25,West
CUST0272,32,5,34,East
CUST0273,6,7,66,North
CUST0274,32,5,33,West
CUST0275,55,5,26,East
CUST0276,4,5,45,North
CUST0277,55,3,5,West
CUST0278,11,1,12,East
CUST0279,56,5,24,East
CUST0280,59,9,59,East
CUST0281,17,1,1,West
CUST0282,38,3,9,North
CUST0283,24,4,30,North
CUST0284,5,1,1,South
CUST0285,52,1,1,East
CUST0286,34,8,64,South
CUST0287,6,2,16,South
CUST0288,22,8,65,North
CUST0289,11,7,62,West
CUST0290,48,2,1,West
CUST0291,16,6,51,North
CUST0292,33,6,40,West
CUST0293,9,3,27,South
CUST0294,59,2,1,East
CUST0295,6,1,1,North
CUST0296,16,6,54,East
CUST0297,29,5,48,West
CUST0298,3,9,90,East
CUST0299,20,1,1,West
CUST0300,59,7,41,West
CUST0301,36,5,22,South
CUST0302,19,5,56,West
CUST0303,26,2,18,South
CUST0304,3,3,25,South
CUST0305,19,7,49,South
CUST0306,20,6,45,North
CUST0307,32,2,3,North
CUST0308,7,6,47,West
CUST0309,52,2,1,South
CUST0310,41,2,1,North
CUST0311,33,2,4,South
CUST0312,40,3,11,East
CUST0313,39,2,1,East
CUST0314,18,4,26,East
CUST0315,40,9,70,West
CUST0316,1,6,56,South
CUST0317,11,1,9,East
CUST0318,28,8,66,North
CUST0319,57,7,50,East
CUST0320,25,3,21,East
CUST0321,50,1,1,East
CUST0322,23,5,39,West
CUST0323,31,4,25,North
CUST0324,30,8,73,South
CUST0325,42,1,1,North
CUST0326,35,1,1,South
CUST0327,7,4,35,West
CUST0328,16,8,70,West
CUST0329,26,5,31,West
CUST0330,48,2,1,West
CUST0331,57,6,26,South
CUST0332,52,5,26,East
CUST0333,49,2,1,South
CUST0334,2,3,28,North
CUST0335,1,9,90,West
CUST0336,48,7,45,West
CUST0337,12,7,59,North
CUST0338,5,6,61,South
CUST0339,37,8,64,East
CUST0340,32,4,14,East
CUST0341,59,8,49,North
CUST0342,55,4,8,East
CUST0343,9,8,73,South
CUST0344,41,9,66,South
CUST0345,35,3,12,North
CUST0346,19,3,18,South
CUST0347,48,2,1,West
CUST0348,16,3,27,North
CUST0349,3,3,31,South
CUST0350,20,5,36,North
CUST0351,24,5,35,East
CUST0352,54,2,1,South
CUST0353,56,6,34,West
CUST0354,33,5,30,South
CUST0355,24,6,46,North
CUST0356,52,1,1,North
CUST0357,11,5,41,South
CUST0358,49,9,75,West
CUST0359,8,2,21,West
CUST0360,36,1,1,West
CUST0361,38,9,67,North
CUST0362,40,9,69,South
CUST0363,20,9,77,East
CUST0364,35,6,48,North
CUST0365,48,8,53,West
CUST0366,25,1,1,South
CUST0367,35,4,25,West
CUST0368,25,1,1,East
CUST0369,29,8,71,West
CUST0370,18,1,1,West
CUST0371,46,3,11,East
CUST0372,18,4,28,South
CUST0373,2,8,75,North
CUST0374,54,6,36,South
CUST0375,35,7,54,East
CUST0376,16,8,73,West
CUST0377,41,2,1,South
CUST0378,36,8,69,North
CUST0379,33,3,7,East
CUST0380,4,7,62,South
CUST0381,33,3,18,North
CUST0382,14,7,67,East
CUST0383,21,2,11,North
CUST0384,48,6,34,East
CUST0385,20,3,22,West
CUST0386,56,3,10,South
CUST0387,8,9,98,North
CUST0388,7,7,58,East
CUST0389,3,5,46,North
CUST0390,17,7,59,North
CUST0391,33,9,81,South
CUST0392,48,1,1,West
CUST0393,12,7,66,North
CUST0394,59,6,29,East
CUST0395,51,9,72,East
CUST0396,22,1,6,West
CUST0397,55,4,14,East
CUST0398,22,9,71,West
CUST0399,46,4,14,East
CUST0400,30,3,12,South
CUST0401,38,9,64,North
CUST0402,38,2,6,South
CUST0403,45,4,10,North
CUST0404,51,6,44,North
CUST0405,54,2,2,North
CUST0406,8,8,74,South
CUST0407,27,8,68,North
CUST0408,27,1,1,South
CUST0409,34,3,17,West
CUST0410,21,9,85,East
CUST0411,30,5,36,East
CUST0412,33,6,45,North
CUST0413,28,4,22,South
CUST0414,47,2,1,East
CUST0415,33,8,64,South
CUST0416,5,6,52,South
CUST0417,48,5,25,North
CUST0418,19,9,78,East
CUST0419,4,1,4,North
CUST0420,35,5,26,North
CUST0421,49,6,35,East
CUST0422,17,5,37,East
CUST0423,44,6,35,West
CUST0424,28,6,51,West
CUST0425,30,7,58,South
CUST0426,29,4,20,East
CUST0427,46,8,58,West
CUST0428,53,7,44,South
CUST0429,6,9,95,South
CUST0430,35,7,59,South
CUST0431,41,3,1,West
CUST0432,37,3,15,East
CUST0433,24,8,74,North
CUST0434,29,5,38,South
CUST0435,49,4,13,West
CUST0436,46,8,69,West
CUST0437,53,6,36,North
CUST0438,31,2,14,North
CUST0439,35,4,29,West
CUST0440,33,4,25,East
CUST0441,52,6,31,North
CUST0442,21,6,49,West
CUST0443,32,1,1,North
CUST0444,23,8,62,East
CUST0445,33,6,46,South
CUST0446,3,3,36,North
CUST0447,18,9,79,East
CUST0448,25,2,18,West
CUST0449,42,8,51,North
CUST0450,31,3,19,North
CUST0451,54,5,31,West
CUST0452,58,6,29,South
CUST0453,3,6,57,West
CUST0454,40,4,25,North
CUST0455,46,3,9,West
CUST0456,24,4,18,East
CUST0457,50,1,1,West
CUST0458,32,4,23,North
CUST0459,47,1,1,West
CUST0460,22,1,1,South
CUST0461,23,6,41,West
CUST0462,2,5,47,South
CUST0463,27,4,24,East
CUST0464,42,3,10,South
CUST0465,2,1,8,West
CUST0466,26,6,49,North
CUST0467,17,2,13,South
CUST0468,40,8,65,East
CUST0469,33,5,37,South
CUST0470,9,7,69,South
CUST0471,43,2,14,South
CUST0472,54,8,54,East
CUST0473,48,2,8,West
CUST0474,39,4,22,South
CUST0475,29,1,1,South
CUST0476,42,5,27,North
CUST0477,55,9,70,East
CUST0478,26,1,5,South
CUST0479,35,9,75,East
CUST0480,50,8,60,South
CUST0481,25,6,41,West
CUST0482,24,7,50,West
CUST0483,13,3,29,South
CUST0484,58,1,1,West
CUST0485,7,5,50,South
CUST0486,57,2,1,West
CUST0487,36,5,40,North
CUST0488,45,8,49,North
CUST0489,20,9,73,North
CUST0490,1,2,26,East
CUST0491,8,3,12,East
CUST0492,46,3,8,North
CUST0493,16,1,1,East
CUST0494,14,8,69,West
CUST0495,12,6,53,South
CUST0496,51,8,50,South
CUST0497,23,9,86,South
CUST0498,15,5,51,North
CUST0499,28,3,12,East
CUST0500,34,5,34,West
